Time,UUID,RSSI,
20220321 02:48:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20220321 02:48:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20220321 02:48:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:48:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20220321 02:48:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 02:48:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
20220321 02:48:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-88,
20220321 02:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20220321 02:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20220321 02:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20220321 02:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 02:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20220321 02:48:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
20220321 02:48:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20220321 02:48:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20220321 02:48:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:48:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 02:48:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20220321 02:48:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77,
20220321 02:48:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
20220321 02:48:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20220321 02:48:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20220321 02:48:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20220321 02:48:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 02:48:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20220321 02:48:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77,
20220321 02:48:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
20220321 02:48:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20220321 02:48:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20220321 02:48:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20220321 02:48:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20220321 02:48:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 02:48:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20220321 02:48:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
20220321 02:48:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20220321 02:48:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20220321 02:48:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20220321 02:48:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20220321 02:48:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 02:48:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20220321 02:48:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
20220321 02:48:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20220321 02:48:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20220321 02:48:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20220321 02:48:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 02:48:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 02:48:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20220321 02:48:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20220321 02:48:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-56,
20220321 02:48:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20220321 02:48:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20220321 02:48:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 02:48:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 02:48:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20220321 02:48:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20220321 02:48:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-56,
20220321 02:48:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20220321 02:48:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20220321 02:48:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 02:48:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 02:48:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20220321 02:48:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20220321 02:48:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20220321 02:48:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59,
20220321 02:48:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20220321 02:48:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 02:48:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 02:48:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20220321 02:48:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20220321 02:48:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20220321 02:48:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59,
20220321 02:48:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20220321 02:48:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 02:48:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 02:48:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20220321 02:48:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20220321 02:48:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59,
20220321 02:48:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20220321 02:48:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:48:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20220321 02:48:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 02:48:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20220321 02:48:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20220321 02:48:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59,
20220321 02:48:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:48:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 02:48:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20220321 02:48:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 02:48:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20220321 02:48:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79,
20220321 02:48:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59,
20220321 02:48:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 02:48:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:48:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67,
20220321 02:48:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20220321 02:48:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20220321 02:48:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79,
20220321 02:48:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-57,
20220321 02:48:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 02:48:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:48:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67,
20220321 02:48:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20220321 02:48:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20220321 02:48:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20220321 02:48:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-57,
20220321 02:48:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 02:48:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,
20220321 02:48:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:48:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20220321 02:48:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20220321 02:48:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20220321 02:48:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-57,
20220321 02:48:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 02:48:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,
20220321 02:48:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:48:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20220321 02:48:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20220321 02:48:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20220321 02:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-57,
20220321 02:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 02:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,
20220321 02:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20220321 02:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20220321 02:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20220321 02:48:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-57,
20220321 02:48:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 02:48:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,
20220321 02:48:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:48:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20220321 02:48:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20220321 02:48:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20220321 02:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 02:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 02:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,
20220321 02:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20220321 02:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20220321 02:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20220321 02:48:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 02:48:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20220321 02:48:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:48:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20220321 02:48:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20220321 02:48:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20220321 02:48:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20220321 02:48:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 02:48:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20220321 02:48:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220321 02:48:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20220321 02:48:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20220321 02:48:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20220321 02:48:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20220321 02:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 02:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20220321 02:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220321 02:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20220321 02:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20220321 02:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20220321 02:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20220321 02:49:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 02:49:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20220321 02:49:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220321 02:49:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20220321 02:49:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70,
20220321 02:49:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20220321 02:49:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20220321 02:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 02:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220321 02:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
20220321 02:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20220321 02:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 02:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20220321 02:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20220321 02:49:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20220321 02:49:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220321 02:49:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
20220321 02:49:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20220321 02:49:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 02:49:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20220321 02:49:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20220321 02:49:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 02:49:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220321 02:49:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
20220321 02:49:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20220321 02:49:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 02:49:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20220321 02:49:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20220321 02:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-56,
20220321 02:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220321 02:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
20220321 02:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20220321 02:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 02:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20220321 02:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20220321 02:49:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-56,
20220321 02:49:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20220321 02:49:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 02:49:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
