Time,UUID,RSSI
20220321 06:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-63
20220321 06:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67
20220321 06:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 06:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74
20220321 06:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76
20220321 06:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77
20220321 06:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-86
20220321 06:19:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-63
20220321 06:19:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67
20220321 06:19:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 06:19:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71
20220321 06:19:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76
20220321 06:19:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77
20220321 06:19:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-86
20220321 06:19:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:19:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67
20220321 06:19:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 06:19:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71
20220321 06:19:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71
20220321 06:19:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76
20220321 06:19:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-86
20220321 06:19:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62
20220321 06:19:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:19:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67
