Time,UUID,RSSI,
20220321 06:19:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64,
20220321 06:19:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-65,
20220321 06:19:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20220321 06:19:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20220321 06:19:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,
20220321 06:19:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79,
20220321 06:19:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20220321 06:19:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-58,
20220321 06:19:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64,
20220321 06:19:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20220321 06:19:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20220321 06:19:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73,
20220321 06:19:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20220321 06:19:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20220321 06:19:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-57,
20220321 06:19:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64,
20220321 06:19:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20220321 06:19:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20220321 06:19:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-76,
20220321 06:19:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-77,
20220321 06:19:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-84,
20220321 06:19:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-59,
20220321 06:19:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20220321 06:19:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20220321 06:19:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20220321 06:19:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 06:19:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20220321 06:19:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-87,
20220321 06:19:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-59,
20220321 06:19:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62,
20220321 06:19:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20220321 06:19:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20220321 06:19:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 06:19:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20220321 06:19:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20220321 06:19:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-62,
20220321 06:19:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20220321 06:19:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20220321 06:19:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20220321 06:19:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 06:19:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20220321 06:19:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20220321 06:19:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-60,
20220321 06:19:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20220321 06:19:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20220321 06:19:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20220321 06:19:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20220321 06:19:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220321 06:19:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-85,
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62,
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63,
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-76,
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76,
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-77,
20220321 06:19:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20220321 06:19:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-58,
20220321 06:19:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20220321 06:19:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20220321 06:19:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20220321 06:19:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20220321 06:19:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20220321 06:19:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-85,
20220321 06:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-58,
20220321 06:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20220321 06:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20220321 06:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20220321 06:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20220321 06:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20220321 06:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-76,
20220321 06:20:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-62,
20220321 06:20:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20220321 06:20:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20220321 06:20:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20220321 06:20:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20220321 06:20:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-76,
20220321 06:20:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76,
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-62,
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20220321 06:20:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20220321 06:20:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-62,
20220321 06:20:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 06:20:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20220321 06:20:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20220321 06:20:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77,
20220321 06:20:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20220321 06:20:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20220321 06:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-58,
20220321 06:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 06:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20220321 06:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 06:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77,
20220321 06:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20220321 06:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-84,
20220321 06:20:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-59,
20220321 06:20:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 06:20:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20220321 06:20:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 06:20:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76,
20220321 06:20:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20220321 06:20:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-89,
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-59,
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76,
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-86,
20220321 06:20:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-59,
20220321 06:20:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-63,
20220321 06:20:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20220321 06:20:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20220321 06:20:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-78,
20220321 06:20:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-86,
20220321 06:20:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-89,
20220321 06:20:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-62,
20220321 06:20:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-63,
20220321 06:20:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20220321 06:20:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 06:20:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76,
