Time,UUID,RSSI,
20220321 03:09:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20220321 03:09:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20220321 03:09:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-72,
20220321 03:09:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-72,
20220321 03:09:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
20220321 03:09:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-85,
20220321 03:09:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-92,
20220321 03:09:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,
20220321 03:09:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20220321 03:09:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20220321 03:09:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20220321 03:09:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
20220321 03:09:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-85,
20220321 03:09:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-88,
20220321 03:09:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 03:09:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20220321 03:09:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20220321 03:09:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20220321 03:09:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-74,
20220321 03:09:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20220321 03:09:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-97,
20220321 03:09:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20220321 03:09:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20220321 03:09:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20220321 03:09:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70,
20220321 03:09:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,
20220321 03:09:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20220321 03:09:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-90,
20220321 03:09:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 03:09:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220321 03:09:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20220321 03:09:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20220321 03:09:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20220321 03:09:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-78,
20220321 03:09:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20220321 03:10:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 03:10:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20220321 03:10:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20220321 03:10:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-75,
20220321 03:10:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20220321 03:10:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-78,
20220321 03:10:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81,
20220321 03:10:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 03:10:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 03:10:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20220321 03:10:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20220321 03:10:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74,
20220321 03:10:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20220321 03:10:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-90,
20220321 03:10:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 03:10:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20220321 03:10:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20220321 03:10:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20220321 03:10:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20220321 03:10:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77,
20220321 03:10:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20220321 03:10:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59,
20220321 03:10:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20220321 03:10:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 03:10:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20220321 03:10:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20220321 03:10:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-84,
20220321 03:10:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-87,
20220321 03:10:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20220321 03:10:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20220321 03:10:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20220321 03:10:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20220321 03:10:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20220321 03:10:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-87,
20220321 03:10:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-90,
20220321 03:10:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59,
20220321 03:10:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20220321 03:10:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 03:10:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20220321 03:10:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20220321 03:10:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-84,
20220321 03:10:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-93,
20220321 03:10:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20220321 03:10:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
