Time,UUID,RSSI
20220321 05:29:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-55
20220321 05:29:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66
20220321 05:29:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 05:29:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69
20220321 05:29:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71
20220321 05:29:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20220321 05:29:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81
20220321 05:29:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-53
20220321 05:29:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61
20220321 05:29:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62
20220321 05:29:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73
20220321 05:29:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74
20220321 05:29:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
20220321 05:29:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81
20220321 05:29:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-50
20220321 05:29:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56
20220321 05:29:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62
20220321 05:29:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68
20220321 05:29:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71
20220321 05:29:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71
20220321 05:29:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77
20220321 05:29:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-50
20220321 05:29:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-55
20220321 05:29:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61
20220321 05:29:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66
20220321 05:29:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70
20220321 05:29:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70
20220321 05:29:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77
20220321 05:29:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-54
20220321 05:29:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61
20220321 05:29:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65
20220321 05:29:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20220321 05:29:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76
20220321 05:29:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-81
20220321 05:29:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-82
20220321 05:29:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56
20220321 05:29:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61
20220321 05:29:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62
20220321 05:29:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-65
20220321 05:29:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71
20220321 05:29:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20220321 05:29:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75
20220321 05:29:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-55
20220321 05:29:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61
20220321 05:29:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62
20220321 05:29:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-65
20220321 05:29:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70
20220321 05:29:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20220321 05:29:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75
20220321 05:29:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-54
20220321 05:29:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62
20220321 05:29:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63
20220321 05:29:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64
20220321 05:29:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66
20220321 05:29:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20220321 05:29:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74
20220321 05:29:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-49
20220321 05:29:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56
20220321 05:29:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62
20220321 05:29:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67
20220321 05:29:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71
20220321 05:29:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71
20220321 05:29:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20220321 05:30:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-53
20220321 05:30:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61
20220321 05:30:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-65
20220321 05:30:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 05:30:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20220321 05:30:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75
20220321 05:30:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
20220321 05:30:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-54
20220321 05:30:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61
20220321 05:30:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-65
20220321 05:30:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66
20220321 05:30:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 05:30:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20220321 05:30:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75
20220321 05:30:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-53
20220321 05:30:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 05:30:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75
20220321 05:30:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77
20220321 05:30:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-78
20220321 05:30:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83
20220321 05:30:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-85
20220321 05:30:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-53
20220321 05:30:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62
20220321 05:30:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63
20220321 05:30:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64
20220321 05:30:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-65
20220321 05:30:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20220321 05:30:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75
20220321 05:30:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-50
20220321 05:30:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56
20220321 05:30:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62
20220321 05:30:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67
20220321 05:30:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70
20220321 05:30:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71
20220321 05:30:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77
20220321 05:30:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-50
20220321 05:30:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56
20220321 05:30:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62
20220321 05:30:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67
20220321 05:30:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 05:30:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70
20220321 05:30:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77
20220321 05:30:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-51
20220321 05:30:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58
20220321 05:30:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59
20220321 05:30:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59
20220321 05:30:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67
20220321 05:30:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 05:30:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72
20220321 05:30:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-53
20220321 05:30:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56
20220321 05:30:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62
20220321 05:30:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69
20220321 05:30:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-74
20220321 05:30:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75
20220321 05:30:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-54
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-51
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-66
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-56
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
