Time,UUID,RSSI,
20220321 05:29:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20220321 05:29:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-66,
20220321 05:29:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 05:29:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20220321 05:29:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20220321 05:29:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-89,
20220321 05:29:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-96,
20220321 05:29:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56,
20220321 05:29:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20220321 05:29:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20220321 05:29:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 05:29:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20220321 05:29:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20220321 05:29:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-82,
20220321 05:29:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56,
20220321 05:29:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20220321 05:29:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-66,
20220321 05:29:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 05:29:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20220321 05:29:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20220321 05:29:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76,
20220321 05:29:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62,
20220321 05:29:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,
20220321 05:29:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20220321 05:29:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20220321 05:29:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20220321 05:29:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20220321 05:29:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20220321 05:29:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56,
20220321 05:29:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20220321 05:29:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-65,
20220321 05:29:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 05:29:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20220321 05:29:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20220321 05:29:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79,
20220321 05:29:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20220321 05:29:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 05:29:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-66,
20220321 05:29:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20220321 05:29:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20220321 05:29:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20220321 05:29:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77,
20220321 05:29:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20220321 05:29:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 05:29:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,
20220321 05:29:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20220321 05:29:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20220321 05:29:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20220321 05:29:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20220321 05:29:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56,
20220321 05:29:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,
20220321 05:29:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20220321 05:29:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 05:29:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20220321 05:29:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20220321 05:29:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-80,
20220321 05:30:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20220321 05:30:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 05:30:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-66,
20220321 05:30:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67,
20220321 05:30:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20220321 05:30:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20220321 05:30:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76,
20220321 05:30:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56,
20220321 05:30:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-60,
20220321 05:30:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-66,
20220321 05:30:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20220321 05:30:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20220321 05:30:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20220321 05:30:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20220321 05:30:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20220321 05:30:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20220321 05:30:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20220321 05:30:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20220321 05:30:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20220321 05:30:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-78,
20220321 05:30:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20220321 05:30:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20220321 05:30:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20220321 05:30:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67,
20220321 05:30:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20220321 05:30:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20220321 05:30:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20220321 05:30:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20220321 05:30:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20220321 05:30:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20220321 05:30:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20220321 05:30:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20220321 05:30:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
